study,sample,atac_fragments,rna_h5
efremova,CRC01,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC01_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC01_rna.h5
efremova,CRC02,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC02_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC02_rna.h5
efremova,CRC03,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC03_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC03_rna.h5
efremova,CRC04,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC04_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC04_rna.h5
efremova,CRC05,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC05_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC05_rna.h5
efremova,CRC06,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC06_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC06_rna.h5
efremova,CRC07,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC07_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC07_rna.h5
efremova,CRC08,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC08_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC08_rna.h5
efremova,CRC09,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC09_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC09_rna.h5
efremova,CRC10,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC10_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC10_rna.h5
efremova,CRC11,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC11_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC11_rna.h5
efremova,CRC12,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC12_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC12_rna.h5
efremova,CRC13,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC13_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC13_rna.h5
efremova,CRC14,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC14_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC14_rna.h5
efremova,CRC15,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC15_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC15_rna.h5
efremova,CRC16,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC16_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC16_rna.h5
efremova,CRC17,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/atac/efremova_CRC17_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/efremova/rna/efremova_CRC17_rna.h5
