study,sample,atac_fragments,rna_h5
wustl,CM1563C1_T1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_CM1563C1_T1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_CM1563C1_T1_rna.h5
wustl,CM268C1_T1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_CM268C1_T1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_CM268C1_T1_rna.h5
wustl,CM354C1_T1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_CM354C1_T1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_CM354C1_T1_rna.h5
wustl,CM354C2_T1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_CM354C2_T1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_CM354C2_T1_rna.h5
wustl,CM478C1_T1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_CM478C1_T1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_CM478C1_T1_rna.h5
wustl,CM478C2_T1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_CM478C2_T1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_CM478C2_T1_rna.h5
wustl,CM556C1_T1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_CM556C1_T1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_CM556C1_T1_rna.h5
wustl,CM618C1_S1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_CM618C1_S1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_CM618C1_S1_rna.h5
wustl,CM663C1_T1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_CM663C1_T1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_CM663C1_T1_rna.h5
wustl,HT225C1_Th1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_HT225C1_Th1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_HT225C1_Th1_rna.h5
wustl,HT230C1_Th1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_HT230C1_Th1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_HT230C1_Th1_rna.h5
wustl,HT250C1_Th1K1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_HT250C1_Th1K1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_HT250C1_Th1K1_rna.h5
wustl,HT253C1_Th1K1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_HT253C1_Th1K1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_HT253C1_Th1K1_rna.h5
wustl,HT260C1_Th1K1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_HT260C1_Th1K1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_HT260C1_Th1K1_rna.h5
wustl,HT307C1_Th1K1,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/atac/wustl_HT307C1_Th1K1_fragments.tsv.gz,/lustre1/project/stg_00064/awinderickx/data/crc_reverse/metastasis/multiome/wustl/pipeline_ready/rna/wustl_HT307C1_Th1K1_rna.h5
